location,coordinate,pinyin
"['札幌', '小樽']","[(141.39388061344943, 43.169835000000006), (141.00985635695616, 43.17853255)]","['zha_huang', 'xiao_zun']"
"['函館', '大沼公園', '札幌', '洞爺湖']","[(140.75466729199326, 41.79337185), (140.6700799, 41.98085), (141.39388061344943, 43.169835000000006), (140.89569112064035, 42.6019661)]","['han_guan', 'da_zhao_gong_yuan', 'zha_huang', 'dong_ye_hu']"
"['函館', '松前城', '木古內駅', '函館朝市']","[(140.7261884, 41.7737872), (140.1083745982303, 41.4297909), (140.43548761680466, 41.67780175), (140.72481426889436, 41.772230199999996)]","['han_guan', 'song_qian_cheng', 'mu_gu_nei_yi', 'han_guan_chao_shi']"
"['松前城', '木古內駅']","[(140.1083745982303, 41.4297909), (140.43548761680466, 41.67780175)]","['song_qian_cheng', 'mu_gu_nei_yi']"
"['函館', '函館山']","[(140.7261884, 41.7737872), (140.703984, 41.7593192)]","['han_guan', 'han_guan_shan']"
"['北海道', '新千歲機場', '旭川', '富良野']","[(116.38206625676122, 39.92626025), (141.6808693, 42.7878079), (142.3579263, 43.7627501), (142.3916593, 43.3469008)]","['bei_hai_dao', 'xin_qian_sui_ji_chang', 'xu_chuan', 'fu_liang_ye']"
"['函館市', '松前町', '江差町']","[(140.729008, 41.768793), (140.1103918, 41.430042), (140.1272235, 41.8690714)]","['han_guan_shi', 'song_qian_ting', 'jiang_cha_ting']"
"['函館', '江差', '大沼公園']","[(140.7261884, 41.7737872), (140.14459591920064, 41.9135689), (140.657020883722, 41.985372600000005)]","['han_guan', 'jiang_cha', 'da_zhao_gong_yuan']"
"['札幌', '小樽', '旭川']","[(141.3509218, 43.0686365), (140.9933209, 43.1975603), (142.3579263, 43.7627501)]","['zha_huang', 'xiao_zun', 'xu_chuan']"
"['札幌市', '狸小路', '薄野']","[(141.3542924, 43.061936), (141.352698, 43.0572584), (141.3563291, 43.0556326)]","['zha_huang_shi', 'li_xiao_lu', 'bao_ye']"
"['札幌市區', '札幌巨蛋', '函館機場', '函館朝市']","[(141.3339559, 43.1126899), (141.40974344269986, 43.0147798), (140.74515771326665, 41.78622875), (140.72481426889436, 41.772230199999996)]","['zha_huang_shi_qu', 'zha_huang_ju_dan', 'han_guan_ji_chang', 'han_guan_chao_shi']"
